action_state_id,state_name,state_description,attack_id,vlookup_debug,state_category,attack_type,direction
0000,DeadDown,Standard downward death,,None,dead,,
0001,DeadLeft,Standard leftward death,,None,dead,,
0002,DeadRight,Standard rightward death,,None,dead,,
0003,DeadUp,"Upward death used in 1P ""Team Kirby"", etc.",,None,dead,,
0004,DeadUpStar,Standard Star KO,,None,dead,,
0005,DeadUpStarIce,Star KO while encased in ice (Freezie),,None,dead,,
0006,,"64-esque front fall, unused, I believe",,None,unused,,
0007,,,,None,unused,,
0008,DeadUpFallHitCamera,,,None,dead,,
0009,DeadUpFallIce,,,None,dead,,
0010,DeadUpFallHitCameraIce,,,None,dead,,
0011,Sleep,"""Nothing"" state, probably - it is the state Shiek/Zelda is in when their counterpart is the one currently playing. Also state of Nana when Sopo is alive",,None,dead,,
0012,Rebirth,Entering on halo,,None,respawn,,
0013,RebirthWait,Waiting on halo,,None,respawn,,
0014,Wait,Standing state,,None,,,
0015,WalkSlow,,,None,,,
0016,WalkMiddle,,,None,,,
0017,WalkFast,,,None,,,
0018,Turn,,,None,,,
0019,TurnRun,,,None,,,
0020,Dash,,,None,,,
0021,Run,,,None,,,
0022,RunDirect,,,None,,,
0023,RunBrake,,,None,,,
0024,KneeBend,Pre-jump animation,,None,,,
0025,JumpF,First jump forward,,None,,,
0026,JumpB,First jump backward,,None,,,
0027,JumpAerialF,Aerial jump forward,,None,,,
0028,JumpAerialB,Aerial jump backward,,None,,,
0029,Fall,Falling straight down,,None,,,
0030,FallF,Falling with forward DI,,None,,,
0031,FallB,Falling with backward DI,,None,,,
0032,FallAerial,Falling after the second jump,,None,,,
0033,FallAerialF,Falling after the second jump with forward DI,,None,,,
0034,FallAerialB,Falling after the second jump with backward DI,,None,,,
0035,FallSpecial,Special fall after UpB or airdodge,,None,,,
0036,FallSpecialF,Special fall with forward DI,,None,,,
0037,FallSpecialB,Special fall with backward DI,,None,,,
0038,DamageFall,Tumbling,,None,,,
0039,Squat,Going from stand to crouch,,None,,,
0040,SquatWait,Crouching,,None,,,
0041,SquatRv,Going from crouch to stand,,None,,,
0042,Landing,,,None,,,
0043,LandingFallSpecial,Landing from special fall,,None,,,
0044,Attack11,Jab 1,2,Jab 1,attack,jab,Neutral
0045,Attack12,Jab 2,3,Jab 2,attack,jab,Neutral
0046,Attack13,Jab 3,4,Jab 3,attack,jab,Neutral
0047,Attack100Start,Start of a rapid jab,5,Rapid Jabs,attack,jab,Neutral
0048,Attack100Loop,Middle of a rapid jab,5,Rapid Jabs,attack,jab,Neutral
0049,Attack100End,End of a rapid jab,5,Rapid Jabs,attack,jab,Neutral
0050,AttackDash,Dash attack,6,Dash Attack,attack,dash,Dash
0051,AttackS3Hi,High Ftilt,7,Side Tilt,attack,tilt,Forward
0052,AttackS3HiS,High-mid Ftilt,7,Side Tilt,attack,tilt,Forward
0053,AttackS3S,Mid Ftilt,7,Side Tilt,attack,tilt,Forward
0054,AttackS3LwS,Low-mid Ftilt,7,Side Tilt,attack,tilt,Forward
0055,AttackS3Lw,Low Ftilt,7,Side Tilt,attack,tilt,Forward
0056,AttackHi3,Uptilt,8,Up Tilt,attack,tilt,Up
0057,AttackLw3,Downtilt,9,Down Tilt,attack,tilt,Down
0058,AttackS4Hi,High Fsmash,10,Side Smash,attack,smash,Forward
0059,AttackS4HiS,High-mid Fsmash,10,Side Smash,attack,smash,Forward
0060,AttackS4S,Mid Fsmash,10,Side Smash,attack,smash,Forward
0061,AttackS4LwS,Low-mid Fsmash,10,Side Smash,attack,smash,Forward
0062,AttackS4Lw,Low Fsmash,10,Side Smash,attack,smash,Forward
0063,AttackHi4,Upsmash,11,Up Smash,attack,smash,Up
0064,AttackLw4,Downsmash,12,Down Smash,attack,smash,Down
0065,AttackAirN,Nair,13,Nair,attack,aerial,Neutral
0066,AttackAirF,Fair,14,Fair,attack,aerial,Forward
0067,AttackAirB,Bair,15,Bair,attack,aerial,Back
0068,AttackAirHi,Uair,16,Uair,attack,aerial,Up
0069,AttackAirLw,Dair,17,Dair,attack,aerial,Down
0070,LandingAirN,Landing during Nair,,None,,,
0071,LandingAirF,Landing during Fair,,None,,,
0072,LandingAirB,Landing during Bair,,None,,,
0073,LandingAirHi,Landing during Uair,,None,,,
0074,LandingAirLw,Landing during Dair,,None,,,
0075,DamageHi1,,,None,,,
0076,DamageHi2,,,None,,,
0077,DamageHi3,,,None,,,
0078,DamageN1,,,None,,,
0079,DamageN2,,,None,,,
0080,DamageN3,,,None,,,
0081,DamageLw1,,,None,,,
0082,DamageLw2,,,None,,,
0083,DamageLw3,,,None,,,
0084,DamageAir1,,,None,,,
0085,DamageAir2,,,None,,,
0086,DamageAir3,,,None,,,
0087,DamageFlyHi,,,None,,,
0088,DamageFlyN,,,None,,,
0089,DamageFlyLw,,,None,,,
0090,DamageFlyTop,,,None,,,
0091,DamageFlyRoll,,,None,,,
0092,LightGet,Picking up an item,,None,item,,
0093,HeavyGet,Picking up a heavy item (barrel),,None,item,,
0094,LightThrowF,Throwing items at standard speed,,None,item,,
0095,LightThrowB,,,None,item,,
0096,LightThrowHi,,,None,item,,
0097,LightThrowLw,,,None,item,,
0098,LightThrowDash,,,None,item,,
0099,LightThrowDrop,,,None,item,,
0100,LightThrowAirF,,,None,item,,
0101,LightThrowAirB,,,None,item,,
0102,LightThrowAirHi,,,None,item,,
0103,LightThrowAirLw,,,None,item,,
0104,HeavyThrowF,,,None,item,,
0105,HeavyThrowB,,,None,item,,
0106,HeavyThrowHi,,,None,item,,
0107,HeavyThrowLw,,,None,item,,
0108,LightThrowF4,Throwing items at Smash speed,,None,item,,
0109,LightThrowB4,,,None,item,,
0110,LightThrowHi4,,,None,item,,
0111,LightThrowLw4,,,None,item,,
0112,LightThrowAirF4,,,None,item,,
0113,LightThrowAirB4,,,None,item,,
0114,LightThrowAirHi4,,,None,item,,
0115,LightThrowAirLw4,,,None,item,,
0116,HeavyThrowF4,,,None,item,,
0117,HeavyThrowB4,,,None,item,,
0118,HeavyThrowHi4,,,None,item,,
0119,HeavyThrowLw4,,,None,item,,
0120,SwordSwing1,Beam sword swings,63,Beam Sword Jab,item,,
0121,SwordSwing3,,64,Beam Sword Tilt Swing,item,,
0122,SwordSwing4,,65,Beam Sword Smash Swing,item,,
0123,SwordSwingDash,,66,Beam Sword Dash Swing,item,,
0124,BatSwing1,Home Run Bat swings,67,Home Run Bat Jab,item,,
0125,BatSwing3,,68,Home Run Bat Tilt Swing,item,,
0126,BatSwing4,,69,Home Run Bat Smash Swing,item,,
0127,BatSwingDash,,70,Home Run Bat Dash Swing,item,,
0128,ParasolSwing1,Parasol swings,71,Parasol Jab,item,,
0129,ParasolSwing3,,72,Parasol Tilt Swing,item,,
0130,ParasolSwing4,,73,Parasol Smash Swing,item,,
0131,ParasolSwingDash,,74,Parasol Dash Swing,item,,
0132,HarisenSwing1,Fan swings,75,Fan Jab,item,,
0133,HarisenSwing3,,76,Fan Tilt Swing,item,,
0134,HarisenSwing4,,77,Fan Smash Swing,item,,
0135,HarisenSwingDash,,78,Fan Dash Swing,item,,
0136,StarRodSwing1,Star Rod swings,79,Star Rod Jab,item,,
0137,StarRodSwing3,,80,Star Rod Tilt Swing,item,,
0138,StarRodSwing4,,81,Star Rod Smash Swing,item,,
0139,StarRodSwingDash,,82,Star Rod Dash Swing,item,,
0140,LipStickSwing1,Lip's Stick swings,83,Lip's Stick Jab,item,,
0141,LipStickSwing3,,84,Lip's Stick Tilt Swing,item,,
0142,LipStickSwing4,,85,Lip's Stick Smash Swing,item,,
0143,LipStickSwingDash,,86,Lip's Stick Dash Swing,item,,
0144,ItemParasolOpen,,87,Open Parasol,item,,
0145,ItemParasolFall,,,None,item,,
0146,ItemParasolFallSpecial,,,None,item,,
0147,ItemParasolDamageFall,,,None,item,,
0148,LGunShoot,Raygun shots,88,Ray Gun Shoot,item,,
0149,LGunShootAir,,88,Ray Gun Shoot,item,,
0150,LGunShootEmpty,,,None,item,,
0151,LGunShootAirEmpty,,,None,item,,
0152,FireFlowerShoot,,89,Fire Flower Shoot,item,,
0153,FireFlowerShootAir,,89,Fire Flower Shoot,item,,
0154,ItemScrew,,,None,item,,
0155,ItemScrewAir,,,None,item,,
0156,DamageScrew,,90,Screw Attack,item,,
0157,DamageScrewAir,,90,Screw Attack,item,,
0158,ItemScopeStart,,,None,item,,
0159,ItemScopeRapid,,91,Super Scope (Rapid),item,,
0160,ItemScopeFire,,92,Super Scope (Charged),item,,
0161,ItemScopeEnd,,,None,item,,
0162,ItemScopeAirStart,,,None,item,,
0163,ItemScopeAirRapid,,91,Super Scope (Rapid),item,,
0164,ItemScopeAirFire,,92,Super Scope (Charged),item,,
0165,ItemScopeAirEnd,,,None,item,,
0166,ItemScopeStartEmpty,,,None,item,,
0167,ItemScopeRapidEmpty,,,None,item,,
0168,ItemScopeFireEmpty,,,None,item,,
0169,ItemScopeEndEmpty,,,None,item,,
0170,ItemScopeAirStartEmpty,,,None,item,,
0171,ItemScopeAirRapidEmpty,,,None,item,,
0172,ItemScopeAirFireEmpty,,,None,item,,
0173,ItemScopeAirEndEmpty,,,None,item,,
0174,LiftWait,,,None,,,
0175,LiftWalk1,,,None,,,
0176,LiftWalk2,,,None,,,
0177,LiftTurn,,,None,,,
0178,GuardOn,Shield startup,,None,shield,,
0179,Guard,Holding shield,,None,shield,,
0180,GuardOff,Shield release,,None,shield,,
0181,GuardSetOff,Shield stun,,None,shield,,
0182,GuardReflect,powershield?,,None,shield,,
0183,DownBoundU,"The missed tech bounce, facing up",,None,knockdown,,
0184,DownWaitU,Lying on ground facing up,,None,knockdown,,
0185,DownDamageU,Getting hit by a low knockback move lying on ground facing up,,None,knockdown,,
0186,DownStandU,Neutral getup,,None,knockdown,,
0187,DownAttackU,Get up attack from ground face up,51,Get Up Attack (From Front),knockdown,,
0188,DownFowardU,Missed tech roll forward,,None,knockdown,,
0189,DownBackU,Missed tech roll backward,,None,knockdown,,
0190,DownSpotU,"Does not appear to be used, may have been a stick down option for missed tech at one point",,None,knockdown,,
0191,DownBoundD,"The missed tech bounce, facing down",,None,knockdown,,
0192,DownWaitD,Lying on ground facing down,,None,knockdown,,
0193,DownDamageD,Getting hit by a low knockback move lying on the ground facing down,,None,knockdown,,
0194,DownStandD,Neutral getup,,None,knockdown,,
0195,DownAttackD,Get up attack from ground face down,50,Get Up Attack (From Back),knockdown,,
0196,DownFowardD,Missed tech roll forward,,None,knockdown,,
0197,DownBackD,Missed tech roll backward,,None,knockdown,,
0198,DownSpotD,"Does not appear to be used, may have been a stick down option for missed tech at one point",,None,knockdown,,
0199,Passive,Neutral tech,,None,knockdown,,
0200,PassiveStandF,Forward tech,,None,knockdown,,
0201,PassiveStandB,Backward tech,,None,knockdown,,
